StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_4_TEXT,Q3,Q3_8_TEXT,Q16,Q16_2_TEXT,Q4,Q18,Q5,Q6,Q8,Q9,Q10,Q11,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_11,Q17_12,Q17_13,Q17_14,Q17_15,Q17_16,Q17_17,Q17_18,Q17_19,Q17_20,Q17_21,Q17_22,Q17_23,Q17_24,Q17_25,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q12_15,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q13_12,Q13_13,Q13_14,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q15,SC0
2018-11-27 08:35:24,2018-11-27 08:40:29,IP Address,74.207.34.166,100,305,True,2018-11-27 08:40:29,R_2ymyAzfl5woMN9p,,,,,43.32269287109375,-91.7938995361328125,anonymous,EN,18-22,Female,,Caucasian,,United States,,First Year-level courses,,No,I have followed the laid out curriculum plan for the nursing major,Yes,1-4 hours,5-8 hours,TRIO Achievement Program,Sometimes True,Sometimes True,Often True,Often True,Often True,Sometimes True,True Nearly All of the Time,Often True,Often True,True Nearly All of the Time,Often True,Often True,Sometimes True,Sometimes True,Often True,Sometimes True,Often True,Often True,Sometimes True,Sometimes True,True Nearly All of the Time,Sometimes True,Sometimes True,Often True,Often True,Somewhat Frequently,Somewhat Frequently,Somewhat Infrequently,Somewhat Infrequently,Somewhat Infrequently,Somewhat Frequently,Somewhat Frequently,Somewhat Infrequently,Somewhat Infrequently,Somewhat Infrequently,Very Frequently,Very Frequently,Very Frequently,Somewhat Frequently,Somewhat Frequently,Fairly Often,Fairly Often,Fairly Often,Fairly Often,Fairly Often,Fairly Often,Sometimes,Sometimes,Sometimes,Sometimes,Fairly Often,Fairly Often,Fairly Often,Fairly Often,Several days,Several days,Several days,Several days,Not at all sure,Several days,Several days,Somewhat difficult,84
2018-11-27 08:36:53,2018-11-27 08:43:01,IP Address,74.207.54.194,100,367,True,2018-11-27 08:43:02,R_aaWMcyMYblvQh6V,,,,,43.32269287109375,-91.7938995361328125,anonymous,EN,18-22,Female,,Caucasian,,United States,,Sophomore-level courses,,No,I have followed the laid out curriculum plan for the nursing major,No,,0-4 hours,,Often True,Often True,Rarely True,Often True,True Nearly All of the Time,Sometimes True,Often True,Sometimes True,Often True,Often True,True Nearly All of the Time,True Nearly All of the Time,True Nearly All of the Time,Often True,Sometimes True,Sometimes True,Sometimes True,Rarely True,Often True,Often True,True Nearly All of the Time,True Nearly All of the Time,Often True,True Nearly All of the Time,True Nearly All of the Time,Somewhat Frequently,Very Infrequently,Somewhat Infrequently,Somewhat Infrequently,Somewhat Infrequently,Very Infrequently,Very Infrequently,Very Infrequently,Somewhat Infrequently,Very Infrequently,Very Infrequently,Somewhat Infrequently,Somewhat Frequently,Very Infrequently,Somewhat Frequently,Sometimes,Almost Never,Fairly Often,Sometimes,Fairly Often,Sometimes,Sometimes,Almost Never,Fairly Often,Fairly Often,Sometimes,Fairly Often,Sometimes,Almost Never,Several days,Not at all sure,Several days,Not at all sure,Not at all sure,Several days,Several days,Somewhat difficult,92
2018-11-27 08:28:09,2018-11-27 08:46:50,IP Address,184.100.220.177,100,1121,True,2018-11-27 08:46:50,R_1Qn4kYdEQPHqACA,,,,,42.7393035888671875,-90.4853973388671875,anonymous,EN,18-22,Female,,Caucasian,,United States,,Senior-level courses,December 2018,No,I transferred in one or more courses,Yes,8-12 hours,0-4 hours,SASC (Student Academic Support Center),True Nearly All of the Time,True Nearly All of the Time,Often True,True Nearly All of the Time,True Nearly All of the Time,Sometimes True,Often True,Often True,True Nearly All of the Time,True Nearly All of the Time,True Nearly All of the Time,Often True,Sometimes True,Often True,True Nearly All of the Time,Sometimes True,True Nearly All of the Time,Sometimes True,True Nearly All of the Time,Rarely True,True Nearly All of the Time,True Nearly All of the Time,True Nearly All of the Time,True Nearly All of the Time,True Nearly All of the Time,Very Infrequently,Almost Never,Very Infrequently,Somewhat Frequently,Somewhat Infrequently,Very Frequently,Somewhat Infrequently,Very Infrequently,Somewhat Infrequently,Somewhat Frequently,Very Infrequently,Almost Never,Somewhat Infrequently,Very Infrequently,Almost Never,Sometimes,Almost Never,Fairly Often,Fairly Often,Fairly Often,Very Often,Sometimes,Never,Very Often,Fairly Often,Never,Very Often,Very Often,Never,Not at all sure,Not at all sure,Not at all sure,Not at all sure,Not at all sure,Not at all sure,Not at all sure,Not difficult at all,82
2018-11-27 08:25:15,2018-11-27 08:48:07,IP Address,71.90.82.48,100,1371,True,2018-11-27 08:48:07,R_26eGXy7IMU80d0U,,,,,44.0496063232421875,-92.48960113525390625,anonymous,EN,18-22,Female,,Caucasian,,United States,,Junior-level courses,,No,I have followed the laid out curriculum plan for the nursing major,Yes,5-8 hours,5-8 hours,SASC (Student Academic Support Center),Often True,True Nearly All of the Time,Sometimes True,True Nearly All of the Time,True Nearly All of the Time,Sometimes True,Sometimes True,Often True,Often True,Often True,Often True,Often True,True Nearly All of the Time,True Nearly All of the Time,Sometimes True,Often True,Often True,Often True,Often True,Sometimes True,Sometimes True,Often True,Often True,Often True,True Nearly All of the Time,Very Infrequently,Very Infrequently,Somewhat Frequently,Very Infrequently,Very Frequently,Almost Never,Very Infrequently,Very Infrequently,Very Infrequently,Somewhat Infrequently,Very Infrequently,Very Infrequently,Almost Never,Somewhat Frequently,Very Infrequently,Almost Never,Almost Never,Very Often,Fairly Often,Fairly Often,Fairly Often,Almost Never,Almost Never,Sometimes,Almost Never,Fairly Often,Very Often,Sometimes,Fairly Often,Over half the days,Not at all sure,Several days,Over half the days,Over half the days,Over half the days,Not at all sure,Very difficult,108
2018-11-27 08:44:04,2018-11-27 08:53:03,IP Address,74.207.52.179,100,539,True,2018-11-27 08:53:04,R_22zsoXUWteogtJi,,,,,43.32269287109375,-91.7938995361328125,anonymous,EN,18-22,Female,,Caucasian,,United States,,Sophomore-level courses,,No,I transferred in one or more courses,No,,0-4 hours,,Often True,Sometimes True,Sometimes True,Often True,Often True,Sometimes True,True Nearly All of the Time,True Nearly All of the Time,True Nearly All of the Time,Often True,True Nearly All of the Time,True Nearly All of the Time,True Nearly All of the Time,Sometimes True,Often True,Sometimes True,Sometimes True,Sometimes True,Sometimes True,Sometimes True,True Nearly All of the Time,True Nearly All of the Time,Often True,Often True,True Nearly All of the Time,Almost Never,Almost Never,Almost Always,Very Infrequently,Almost Never,Somewhat Infrequently,Very Infrequently,Almost Never,Somewhat Frequently,Somewhat Frequently,Somewhat Frequently,Very Infrequently,Almost Always,Somewhat Infrequently,Almost Never,Fairly Often,Almost Never,Very Often,Fairly Often,Sometimes,Fairly Often,Sometimes,Almost Never,Fairly Often,Very Often,Fairly Often,Very Often,Very Often,Never,Over half the days,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Several days,Somewhat difficult,105
2018-11-27 09:01:50,2018-11-27 09:07:56,IP Address,47.49.67.58,100,366,True,2018-11-27 09:07:57,R_2e9cDpA6jne1khx,,,,,44.0496063232421875,-92.48960113525390625,anonymous,EN,18-22,Female,,Caucasian,,United States,,Junior-level courses,,No,I have followed the laid out curriculum plan for the nursing major,No,,0-4 hours,,Often True,Sometimes True,Sometimes True,True Nearly All of the Time,Often True,True Nearly All of the Time,Sometimes True,Sometimes True,Rarely True,Often True,True Nearly All of the Time,Often True,Rarely True,Sometimes True,Often True,Rarely True,Sometimes True,Rarely True,Rarely True,Often True,Often True,Rarely True,Sometimes True,Often True,True Nearly All of the Time,Somewhat Infrequently,Very Infrequently,Very Frequently,Very Frequently,Somewhat Frequently,Very Infrequently,Somewhat Frequently,Very Frequently,Somewhat Frequently,Very Frequently,Very Frequently,Almost Never,Almost Always,Very Frequently,Very Infrequently,Sometimes,Fairly Often,Fairly Often,Fairly Often,Sometimes,Almost Never,Sometimes,Sometimes,Sometimes,Never,Almost Never,Very Often,Sometimes,Fairly Often,Over half the days,Several days,Nearly every day,Several days,Not at all sure,Not at all sure,Not at all sure,Somewhat difficult,88
2018-11-27 09:03:48,2018-11-27 09:08:57,IP Address,74.207.44.93,100,309,True,2018-11-27 09:08:58,R_bJdL5qTvYQ3T8MF,,,,,43.32269287109375,-91.7938995361328125,anonymous,EN,18-22,Female,,Caucasian,,United States,,Sophomore-level courses,,No,I transferred in one or more courses,No,,0-4 hours,SASC (Student Academic Support Center),Often True,True Nearly All of the Time,Sometimes True,Sometimes True,Often True,True Nearly All of the Time,Sometimes True,Rarely True,Often True,Often True,True Nearly All of the Time,Often True,Sometimes True,Often True,Often True,Sometimes True,Sometimes True,Sometimes True,Rarely True,Rarely True,Often True,Often True,Sometimes True,Often True,True Nearly All of the Time,Very Infrequently,Somewhat Frequently,Very Infrequently,Somewhat Frequently,Somewhat Frequently,Very Infrequently,Somewhat Infrequently,Very Infrequently,Somewhat Frequently,Very Frequently,Very Frequently,Very Frequently,Somewhat Frequently,Somewhat Frequently,Very Frequently,Sometimes,Sometimes,Very Often,Fairly Often,Fairly Often,Fairly Often,Almost Never,Fairly Often,Fairly Often,Fairly Often,Fairly Often,Very Often,Fairly Often,Fairly Often,Nearly every day,Over half the days,Over half the days,Nearly every day,Over half the days,Over half the days,Over half the days,Very difficult,96
2018-11-27 09:02:49,2018-11-27 09:10:36,IP Address,74.207.44.78,100,467,True,2018-11-27 09:10:37,R_12EUd9u7tmYncBy,,,,,43.32269287109375,-91.7938995361328125,anonymous,EN,18-22,Female,,"Black or African American,Caucasian",,United States,,Sophomore-level courses,,No,I transferred in one or more courses,Yes,8-12 hours,0-4 hours,SASC (Student Academic Support Center),Often True,True Nearly All of the Time,Often True,Sometimes True,Sometimes True,Rarely True,Rarely True,Rarely True,Often True,Often True,Sometimes True,Often True,Often True,Sometimes True,Often True,Sometimes True,Sometimes True,Sometimes True,Sometimes True,Sometimes True,Often True,Often True,Sometimes True,Often True,Often True,Very Infrequently,Almost Never,Very Infrequently,Very Frequently,Somewhat Infrequently,Somewhat Frequently,Somewhat Infrequently,Very Infrequently,Somewhat Infrequently,Somewhat Infrequently,Somewhat Frequently,Very Infrequently,Very Frequently,Very Infrequently,Somewhat Infrequently,Fairly Often,Fairly Often,Very Often,Sometimes,Sometimes,Sometimes,Sometimes,Fairly Often,Sometimes,Sometimes,Almost Never,Very Often,Fairly Often,Sometimes,Over half the days,Over half the days,Over half the days,Several days,Several days,Several days,Over half the days,Somewhat difficult,105
2018-11-27 09:02:05,2018-11-27 09:13:44,IP Address,74.207.63.150,100,699,True,2018-11-27 09:13:45,R_1IscHK3EdoTrU9D,,,,,43.32269287109375,-91.7938995361328125,anonymous,EN,18-22,Female,,Asian,,United States,,First Year-level courses,,No,I have followed the laid out curriculum plan for the nursing major,Yes,1-4 hours,5-8 hours,TRIO Achievement Program,Often True,True Nearly All of the Time,Sometimes True,Often True,Often True,Often True,Often True,Often True,Often True,True Nearly All of the Time,Often True,Often True,Sometimes True,Often True,Often True,Often True,Often True,Often True,Often True,Often True,Often True,Often True,Often True,Often True,Often True,Somewhat Frequently,Somewhat Frequently,Very Infrequently,Somewhat Frequently,Very Frequently,Somewhat Frequently,Somewhat Frequently,Very Infrequently,Somewhat Frequently,Somewhat Infrequently,Somewhat Frequently,Somewhat Frequently,Somewhat Frequently,Somewhat Frequently,Somewhat Frequently,Sometimes,Sometimes,Fairly Often,Fairly Often,Sometimes,Sometimes,Sometimes,Fairly Often,Fairly Often,Fairly Often,Sometimes,Fairly Often,Sometimes,Sometimes,Several days,Over half the days,Over half the days,Over half the days,Several days,Several days,Several days,Very difficult,87
2018-11-27 09:12:14,2018-11-27 09:19:00,IP Address,74.207.44.179,100,406,True,2018-11-27 09:19:00,R_3QLEv3u9pdqsOnK,,,,,43.32269287109375,-91.7938995361328125,anonymous,EN,18-22,Female,,Caucasian,,United States,,First Year-level courses,,No,I transferred in one or more courses,No,,5-8 hours,,Sometimes True,True Nearly All of the Time,Often True,Sometimes True,Often True,Rarely True,Often True,Often True,True Nearly All of the Time,True Nearly All of the Time,True Nearly All of the Time,True Nearly All of the Time,True Nearly All of the Time,Sometimes True,Rarely True,Sometimes True,Often True,Often True,Sometimes True,Rarely True,Often True,Often True,Often True,True Nearly All of the Time,True Nearly All of the Time,Somewhat Frequently,Very Frequently,Very Frequently,Very Frequently,Very Frequently,Very Frequently,Very Frequently,Very Frequently,Very Frequently,Somewhat Frequently,Very Frequently,Somewhat Frequently,Very Frequently,Very Frequently,Somewhat Frequently,Sometimes,Almost Never,Very Often,Sometimes,Almost Never,Sometimes,Sometimes,Fairly Often,Almost Never,Fairly Often,Almost Never,Fairly Often,Very Often,Fairly Often,Nearly every day,Over half the days,Over half the days,Nearly every day,Nearly every day,Over half the days,Over half the days,Somewhat difficult,81
2018-11-27 09:11:42,2018-11-27 09:20:42,IP Address,74.207.54.247,100,540,True,2018-11-27 09:20:42,R_3NyLKOQYe3KncBr,,,,,43.32269287109375,-91.7938995361328125,anonymous,EN,18-22,Female,,Caucasian,,United States,,First Year-level courses,,No,I have followed the laid out curriculum plan for the nursing major,Yes,13-16 hours,0-4 hours,SASC (Student Academic Support Center),Often True,Often True,True Nearly All of the Time,True Nearly All of the Time,Often True,Sometimes True,Rarely True,Often True,Often True,Often True,True Nearly All of the Time,Often True,True Nearly All of the Time,Often True,True Nearly All of the Time,Often True,Often True,Often True,Sometimes True,Rarely True,True Nearly All of the Time,Often True,Often True,True Nearly All of the Time,True Nearly All of the Time,Somewhat Frequently,Very Infrequently,Somewhat Frequently,Very Frequently,Very Infrequently,Almost Always,Somewhat Infrequently,Somewhat Infrequently,Somewhat Frequently,Somewhat Infrequently,Very Frequently,Almost Never,Somewhat Frequently,Somewhat Frequently,Very Frequently,Fairly Often,Sometimes,Very Often,Fairly Often,Sometimes,Almost Never,Sometimes,Sometimes,Fairly Often,Sometimes,Fairly Often,Fairly Often,Fairly Often,Very Often,Over half the days,Over half the days,Over half the days,Several days,Not at all sure,Several days,Several days,Somewhat difficult,92
2018-11-27 08:13:30,2018-11-27 09:22:08,IP Address,74.207.34.83,100,4118,True,2018-11-27 09:22:08,R_1H8JpgCFW69bVjM,,,,,43.32269287109375,-91.7938995361328125,anonymous,EN,18-22,Female,,Caucasian,,United States,,First Year-level courses,,No,I transferred in one or more courses,Yes,8-12 hours,0-4 hours,TRIO Achievement Program,Often True,True Nearly All of the Time,Sometimes True,Often True,Often True,Sometimes True,Sometimes True,Often True,Sometimes True,True Nearly All of the Time,True Nearly All of the Time,True Nearly All of the Time,True Nearly All of the Time,Often True,Sometimes True,Often True,Often True,Sometimes True,Often True,Sometimes True,Often True,Often True,Often True,Often True,True Nearly All of the Time,Somewhat Frequently,Almost Never,Very Infrequently,Somewhat Infrequently,Almost Never,Very Frequently,Very Infrequently,Very Infrequently,Very Infrequently,Very Infrequently,Somewhat Frequently,Somewhat Infrequently,Somewhat Infrequently,Very Infrequently,Almost Never,Sometimes,Almost Never,Sometimes,Fairly Often,Fairly Often,Fairly Often,Fairly Often,Almost Never,Fairly Often,Sometimes,Almost Never,Very Often,Fairly Often,Sometimes,Several days,Several days,Over half the days,Several days,Several days,Several days,Not at all sure,Somewhat difficult,96
2018-11-27 09:15:03,2018-11-27 09:23:08,IP Address,96.33.226.42,100,485,True,2018-11-27 09:23:08,R_22K2eGZg9HyEfqF,,,,,44.003204345703125,-92.48349761962890625,anonymous,EN,18-22,Female,,Caucasian,,United States,,Junior-level courses,,No,I have followed the laid out curriculum plan for the nursing major,No,,0-4 hours,,Rarely True,Often True,Not True at All,Often True,Rarely True,Rarely True,Sometimes True,Not True at All,Sometimes True,True Nearly All of the Time,Sometimes True,Sometimes True,Rarely True,Often True,True Nearly All of the Time,Rarely True,True Nearly All of the Time,,Often True,Often True,Rarely True,Rarely True,True Nearly All of the Time,Often True,Sometimes True,Very Frequently,Almost Never,Very Frequently,Very Frequently,Very Frequently,Somewhat Frequently,Very Frequently,Somewhat Frequently,Very Infrequently,Somewhat Infrequently,Somewhat Frequently,Somewhat Frequently,Almost Always,Somewhat Frequently,Somewhat Frequently,Very Often,Very Often,Very Often,Almost Never,Almost Never,Almost Never,Never,Fairly Often,Sometimes,Almost Never,Very Often,Very Often,Almost Never,Very Often,Nearly every day,Nearly every day,Nearly every day,Over half the days,Not at all sure,Over half the days,Over half the days,Very difficult,107
2018-11-27 09:23:05,2018-11-27 09:29:16,IP Address,74.207.45.40,100,370,True,2018-11-27 09:29:17,R_RkNvoKP3A281b21,,,,,43.32269287109375,-91.7938995361328125,anonymous,EN,18-22,Female,,Caucasian,,United States,,Sophomore-level courses,,No,I have followed the laid out curriculum plan for the nursing major,Yes,1-4 hours,0-4 hours,SASC (Student Academic Support Center),Often True,True Nearly All of the Time,True Nearly All of the Time,Often True,True Nearly All of the Time,Often True,Sometimes True,Often True,True Nearly All of the Time,True Nearly All of the Time,True Nearly All of the Time,True Nearly All of the Time,Often True,Sometimes True,Sometimes True,Sometimes True,Often True,Often True,Often True,Often True,True Nearly All of the Time,True Nearly All of the Time,True Nearly All of the Time,True Nearly All of the Time,True Nearly All of the Time,Somewhat Frequently,Very Infrequently,Almost Never,Somewhat Frequently,Somewhat Frequently,Somewhat Infrequently,Very Infrequently,Very Infrequently,Very Infrequently,Somewhat Frequently,Somewhat Frequently,Almost Never,Somewhat Frequently,Somewhat Frequently,Very Infrequently,Sometimes,Sometimes,Very Often,Fairly Often,Fairly Often,Sometimes,Sometimes,Sometimes,Fairly Often,Sometimes,Sometimes,Very Often,Very Often,Sometimes,Several days,Several days,Several days,Several days,Several days,Not at all sure,Not at all sure,Somewhat difficult,94
2018-11-27 09:19:21,2018-11-27 09:30:45,IP Address,74.207.46.182,100,684,True,2018-11-27 09:30:45,R_1qTUSDKO9vrRAFM,,,,,43.32269287109375,-91.7938995361328125,anonymous,EN,18-22,Female,,Caucasian,,United States,,First Year-level courses,,No,I transferred in one or more courses,Yes,5-8 hours,0-4 hours,SASC (Student Academic Support Center),True Nearly All of the Time,True Nearly All of the Time,Often True,Often True,Sometimes True,Sometimes True,Sometimes True,Sometimes True,Often True,True Nearly All of the Time,True Nearly All of the Time,Sometimes True,Often True,Often True,Sometimes True,Often True,Sometimes True,Sometimes True,Sometimes True,Sometimes True,Sometimes True,Sometimes True,Rarely True,Often True,Often True,Somewhat Infrequently,Somewhat Infrequently,Somewhat Frequently,Very Frequently,Very Infrequently,Very Infrequently,Somewhat Infrequently,Somewhat Infrequently,Somewhat Frequently,Somewhat Infrequently,Very Frequently,Somewhat Frequently,Very Frequently,Somewhat Frequently,Very Frequently,Fairly Often,Fairly Often,Very Often,Sometimes,Sometimes,Sometimes,Almost Never,Fairly Often,Sometimes,Sometimes,Almost Never,Very Often,Sometimes,Fairly Often,Over half the days,Over half the days,Nearly every day,Over half the days,Over half the days,Not at all sure,Several days,Somewhat difficult,98
2018-11-27 09:28:49,2018-11-27 09:36:56,IP Address,74.207.45.191,100,486,True,2018-11-27 09:36:56,R_2fHVsOdA4sXdezM,,,,,43.32269287109375,-91.7938995361328125,anonymous,EN,18-22,Female,,Black or African American,,Other,Swaziland,First Year-level courses,,No,I have followed the laid out curriculum plan for the nursing major,Yes,13-16 hours,0-4 hours,Prefer not to answer,Sometimes True,True Nearly All of the Time,True Nearly All of the Time,Often True,True Nearly All of the Time,Sometimes True,Rarely True,Sometimes True,True Nearly All of the Time,True Nearly All of the Time,True Nearly All of the Time,Often True,Often True,Rarely True,True Nearly All of the Time,Rarely True,Sometimes True,Not True at All,Not True at All,Sometimes True,True Nearly All of the Time,True Nearly All of the Time,Often True,True Nearly All of the Time,True Nearly All of the Time,Very Frequently,Very Infrequently,Very Infrequently,Almost Never,Almost Never,Very Infrequently,Somewhat Frequently,Very Infrequently,Almost Never,Very Infrequently,Very Infrequently,Almost Never,Very Frequently,Almost Never,Almost Never,Almost Never,Almost Never,Fairly Often,Sometimes,Fairly Often,Very Often,Fairly Often,Almost Never,Sometimes,Sometimes,Almost Never,Very Often,Very Often,Almost Never,Several days,Several days,Several days,Several days,Several days,Several days,Several days,Somewhat difficult,100
2018-11-27 09:31:18,2018-11-27 09:37:57,IP Address,74.207.48.11,100,399,True,2018-11-27 09:37:58,R_299SJjaGJ8EATTu,,,,,43.32269287109375,-91.7938995361328125,anonymous,EN,18-22,Female,,Caucasian,,United States,,Senior-level courses,May 2019,No,I transferred in one or more courses,Yes,8-12 hours,0-4 hours,,Often True,True Nearly All of the Time,Sometimes True,Sometimes True,Often True,Sometimes True,Often True,Often True,True Nearly All of the Time,Sometimes True,Often True,Sometimes True,True Nearly All of the Time,Sometimes True,Often True,Sometimes True,Sometimes True,Sometimes True,True Nearly All of the Time,Sometimes True,Often True,Often True,Often True,Often True,Often True,Somewhat Infrequently,Almost Never,Very Infrequently,Almost Always,Somewhat Frequently,Very Infrequently,Very Infrequently,Somewhat Frequently,Somewhat Infrequently,Somewhat Frequently,Somewhat Frequently,Very Infrequently,Very Infrequently,Very Infrequently,Very Infrequently,Almost Never,Almost Never,Sometimes,Sometimes,Fairly Often,Fairly Often,Fairly Often,Almost Never,Fairly Often,Fairly Often,Almost Never,Very Often,Fairly Often,Almost Never,Not at all sure,Not at all sure,Not at all sure,Several days,Not at all sure,Several days,Not at all sure,Not difficult at all,83
2018-11-27 09:45:05,2018-11-27 09:51:30,IP Address,74.207.52.80,100,385,True,2018-11-27 09:51:31,R_1IZ8m3geNgJYEBT,,,,,43.32269287109375,-91.7938995361328125,anonymous,EN,18-22,Female,,Caucasian,,United States,,Sophomore-level courses,,No,I have followed the laid out curriculum plan for the nursing major,Yes,13-16 hours,0-4 hours,"SASC (Student Academic Support Center),TRIO Achievement Program",Often True,True Nearly All of the Time,Sometimes True,Sometimes True,Sometimes True,Often True,True Nearly All of the Time,Often True,Often True,True Nearly All of the Time,Often True,True Nearly All of the Time,True Nearly All of the Time,Often True,Often True,Often True,Often True,Often True,Often True,Often True,Often True,Often True,Sometimes True,Often True,True Nearly All of the Time,Very Infrequently,Almost Never,Very Infrequently,Somewhat Infrequently,Somewhat Infrequently,Somewhat Infrequently,Somewhat Infrequently,Somewhat Infrequently,Somewhat Frequently,Somewhat Infrequently,Somewhat Infrequently,Very Infrequently,Very Infrequently,Very Infrequently,Very Infrequently,Sometimes,Almost Never,Very Often,Fairly Often,Fairly Often,Fairly Often,Fairly Often,Sometimes,Fairly Often,Sometimes,Almost Never,Fairly Often,Almost Never,Sometimes,Over half the days,Over half the days,Several days,Several days,Not at all sure,Not at all sure,Not at all sure,Somewhat difficult,98
2018-11-27 09:49:08,2018-11-27 10:04:13,IP Address,74.207.34.172,100,905,True,2018-11-27 10:04:14,R_2xWZ8ESjSNVFnUH,,,,,43.32269287109375,-91.7938995361328125,anonymous,EN,18-22,Prefer not to answer,,Caucasian,,United States,,Sophomore-level courses,,No,I have followed the laid out curriculum plan for the nursing major,No,,0-4 hours,SASC (Student Academic Support Center),Often True,True Nearly All of the Time,Sometimes True,Often True,Often True,Often True,Sometimes True,Sometimes True,Sometimes True,Often True,Often True,Sometimes True,True Nearly All of the Time,Sometimes True,Sometimes True,Rarely True,Sometimes True,Often True,Often True,Sometimes True,Often True,Sometimes True,Rarely True,Often True,True Nearly All of the Time,Somewhat Frequently,Almost Never,Somewhat Frequently,Almost Always,Somewhat Infrequently,Somewhat Frequently,Very Frequently,Somewhat Frequently,Somewhat Infrequently,Somewhat Infrequently,Almost Always,Somewhat Frequently,Very Frequently,Somewhat Frequently,Almost Always,Very Often,Fairly Often,Very Often,Sometimes,Sometimes,Sometimes,Almost Never,Sometimes,Sometimes,Sometimes,Fairly Often,Very Often,Almost Never,Very Often,Over half the days,Over half the days,Nearly every day,Nearly every day,Over half the days,Several days,Over half the days,Very difficult,98
2018-11-27 10:18:14,2018-11-27 10:27:37,IP Address,97.86.248.153,100,562,True,2018-11-27 10:27:37,R_3hgyvZkHGrYb1L3,,,,,44.0496063232421875,-92.48960113525390625,anonymous,EN,18-22,Male,,Caucasian,,United States,,Junior-level courses,,Yes,,Yes,5-8 hours,Over 12 hours,SASC (Student Academic Support Center),Sometimes True,Not True at All,Often True,Sometimes True,Rarely True,Rarely True,Sometimes True,Sometimes True,Often True,Often True,Often True,Often True,Rarely True,Sometimes True,True Nearly All of the Time,Rarely True,Sometimes True,Often True,Often True,Rarely True,Often True,Rarely True,Often True,Sometimes True,Rarely True,Somewhat Frequently,Almost Never,Somewhat Frequently,Very Frequently,Very Frequently,Almost Always,Very Frequently,Somewhat Frequently,Somewhat Frequently,Somewhat Frequently,Very Infrequently,Somewhat Infrequently,Very Infrequently,Somewhat Frequently,Almost Never,Fairly Often,Very Often,Fairly Often,Almost Never,Almost Never,Almost Never,Never,Fairly Often,Never,Sometimes,Sometimes,Very Often,Almost Never,Fairly Often,Over half the days,Several days,Several days,Nearly every day,Over half the days,Over half the days,Over half the days,Very difficult,108
2018-11-27 10:36:54,2018-11-27 10:47:08,IP Address,47.41.79.54,100,613,True,2018-11-27 10:47:09,R_2ZHAsDVaKrN2QuA,,,,,44.0496063232421875,-92.48960113525390625,anonymous,EN,18-22,Male,,Caucasian,,United States,,Junior-level courses,,No,I transferred in one or more courses,Yes,13-16 hours,0-4 hours,TRIO Achievement Program,Rarely True,Sometimes True,Often True,Rarely True,Rarely True,Sometimes True,Sometimes True,Often True,Often True,True Nearly All of the Time,True Nearly All of the Time,Often True,Rarely True,Rarely True,Sometimes True,Not True at All,Rarely True,Often True,Sometimes True,Often True,Rarely True,Rarely True,Rarely True,Sometimes True,Rarely True,Very Frequently,Very Frequently,Very Infrequently,Somewhat Infrequently,Somewhat Frequently,Somewhat Frequently,Somewhat Infrequently,Somewhat Frequently,Almost Always,Very Infrequently,Somewhat Frequently,Somewhat Frequently,Almost Always,Very Frequently,Very Frequently,Fairly Often,Fairly Often,Very Often,Almost Never,Sometimes,Almost Never,Never,Very Often,Almost Never,Never,Fairly Often,Very Often,Almost Never,Very Often,Nearly every day,Several days,Over half the days,Nearly every day,Nearly every day,Nearly every day,Several days,Very difficult,106
2018-11-27 10:40:53,2018-11-27 10:50:36,IP Address,129.176.151.28,100,583,True,2018-11-27 10:50:36,R_3no0ZDOVyMPa87O,,,,,44.003204345703125,-92.48349761962890625,anonymous,EN,18-22,Female,,Caucasian,,United States,,Junior-level courses,,No,I transferred in one or more courses,Yes,13-16 hours,0-4 hours,,Often True,True Nearly All of the Time,Often True,Often True,Often True,Sometimes True,Sometimes True,Often True,Often True,Often True,True Nearly All of the Time,Often True,Often True,Often True,Often True,Sometimes True,Often True,Sometimes True,Often True,Often True,Often True,Often True,Often True,Often True,Often True,Somewhat Infrequently,Somewhat Infrequently,Very Infrequently,Very Frequently,Somewhat Infrequently,Very Infrequently,Somewhat Infrequently,Somewhat Infrequently,Very Infrequently,Somewhat Infrequently,Very Infrequently,Very Infrequently,Somewhat Frequently,Very Infrequently,Somewhat Frequently,Fairly Often,Almost Never,Very Often,Very Often,Fairly Often,Very Often,Very Often,Never,Fairly Often,Fairly Often,Fairly Often,Very Often,Sometimes,Sometimes,Over half the days,Several days,Nearly every day,Several days,Not at all sure,Over half the days,Not at all sure,Not difficult at all,93
